Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,WD121KRYZ,WD,Gold 12TB (2017),1,111,601,https://hdd.userbenchmark.com/SpeedTest/391336/WDC-WD121KRYZ-01
HDD,WD101KRYZ,WD,Gold 10TB (2016),2,106,842,https://hdd.userbenchmark.com/SpeedTest/171115/WDC-WD101KRYZ-01JPDB0
HDD,WD6002FRYZ,WD,Gold 6TB (2016) ,3,101,1458,https://hdd.userbenchmark.com/SpeedTest/167511/WDC-WD6002FRYZ-01WD5
HDD,WD8003FRYZ,WD,Gold 8TB (256MB Cache 2017),4,101,541,https://hdd.userbenchmark.com/SpeedTest/388081/WDC-WD8003FRYZ-01JPDB1
HDD,WD6002FFWX,WD,Red Pro 6TB (2015),5,99.2,768,https://hdd.userbenchmark.com/SpeedTest/139230/WDC-WD6002FFWX-68TZ4N0
HDD,WD6002FZWX,WD,Black 6TB (2016),6,98.6,4656,https://hdd.userbenchmark.com/WD-Black-6TB-2016/Rating/3927
HDD,0S03839,HGST,Deskstar NAS 6TB,7,96.7,792,https://hdd.userbenchmark.com/SpeedTest/22222/HGST-HDN726060ALE610
HDD,ST3000DM008,Seagate,Barracuda 3TB (2016),8,96,80141,https://hdd.userbenchmark.com/Seagate-Barracuda-3TB-2016/Rating/3898
HDD,WD1000DHTZ,WD,VelociRaptor 1TB,9,95.2,5327,https://hdd.userbenchmark.com/WD-VelociRaptor-1TB/Rating/1389
HDD,WD8002FRYZ,WD,Gold 8TB (128MB Cache 2016),10,95,206,https://hdd.userbenchmark.com/SpeedTest/226349/WDC-WD8002FRYZ-01FF2B0
HDD,WD6001FZWX,WD,Black 6TB (2015),11,94.1,3672,https://hdd.userbenchmark.com/WD-Black-6TB-2015/Rating/3519
HDD,ST1000DM010,Seagate,Barracuda 1TB (2016),12,94,753727,https://hdd.userbenchmark.com/Seagate-Barracuda-1TB-2016/Rating/3896
HDD,WD5000BHTZ,WD,VelociRaptor 2.5" 500GB,13,93.4,328,https://hdd.userbenchmark.com/SpeedTest/11902/WDC-WD5000BHTZ-04JCPV1
HDD,ST4000VN008,Seagate,IronWolf 4TB (2016),14,93.4,11937,https://hdd.userbenchmark.com/Seagate-IronWolf-4TB-2016/Rating/3906
HDD,ST6000DM001,Seagate,Desktop HDD 6TB (2015),15,93.1,634,https://hdd.userbenchmark.com/SpeedTest/36984/ST6000DM001-1XY17Z
HDD,ST2000DM006,Seagate,Barracuda 2TB (2016),16,92.6,376668,https://hdd.userbenchmark.com/Seagate-Barracuda-2TB-2016/Rating/3897
HDD,0F23267,HGST,Ultrastar He8 Helium 8TB,17,91.8,691,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,0F23668,HGST,Ultrastar He8 Helium 8TB,17,91.8,691,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,WD4004FZWX,WD,Black 4TB (2016),18,91.6,11095,https://hdd.userbenchmark.com/WD-Black-4TB-2016/Rating/3908
HDD,WD4002FYYZ,WD,Gold 4TB (2016),19,91.5,3202,https://hdd.userbenchmark.com/SpeedTest/147091/WDC-WD4002FYYZ-01B7CB0
HDD,WD100EFAX,WD,Red 10TB (2017),20,91.4,1306,https://hdd.userbenchmark.com/SpeedTest/324807/WDC-WD100EFAX-68LHPN0
HDD,ST3000DM001,Seagate,Barracuda 7200.14 3TB,21,91.1,177705,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-3TB/Rating/1374
HDD,WD5000HHTZ,WD,VelociRaptor 500GB,22,90.9,6672,https://hdd.userbenchmark.com/SpeedTest/1434/WDC-WD5000HHTZ-04N21V0
HDD,ST3000VX000,Seagate,Video SV35.6 Series 3TB,23,90.8,4229,https://hdd.userbenchmark.com/SpeedTest/4903/ST3000VX000-9YW166
HDD,ST1000DM003,Seagate,Barracuda 7200.14 1TB,24,90.8,1194818,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-1TB/Rating/1849
HDD,ST2000DM008,Seagate,Barracuda 2TB (2018),25,90.2,284047,https://hdd.userbenchmark.com/SpeedTest/466743/ST2000DM008-2FR102
HDD,WD2005FBYZ,WD,Gold 2TB (2016),26,90,3574,https://hdd.userbenchmark.com/SpeedTest/206650/WDC-WD2005FBYZ-01YCBB1
HDD,ST6000DX000,Seagate,Desktop HDD 6TB (2014),27,89.9,998,https://hdd.userbenchmark.com/SpeedTest/12188/ST6000DX000-1H217Z
HDD,HDWE150XZSTA,Toshiba,X300 5TB,28,89.9,8011,https://hdd.userbenchmark.com/Toshiba-X300-5TB/Rating/3593
HDD,HDWE150EZSTA,Toshiba,X300 5TB,28,89.9,8011,https://hdd.userbenchmark.com/Toshiba-X300-5TB/Rating/3593
HDD,ST5000DM002,Seagate,Desktop HDD 5TB (2015),29,89.6,239,https://hdd.userbenchmark.com/SpeedTest/123827/ST5000DM002-1XY17X
HDD,WD2003FZEX,WD,Black 2TB (2013),30,89.5,103134,https://hdd.userbenchmark.com/WD-Black-2TB-2013/Rating/1821
HDD,HDWD120XZSTA,Toshiba,P300 2TB,31,89.5,70401,https://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,HDWD120EZSTA,Toshiba,P300 2TB,31,89.5,70401,https://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,HDWD120UZSVA,Toshiba,P300 2TB,31,89.5,70401,https://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,HUS156045VLS600,Hitachi,UltraStar 15K600 450GB,32,89.4,71,https://hdd.userbenchmark.com/SpeedTest/9674/HITACHI-HUS156045VLS600
HDD,WD5001FZWX,WD,Black 5TB (2015),33,89.3,5903,https://hdd.userbenchmark.com/WD-Black-5TB-2015/Rating/3907
HDD,HDWD130XZSTA,Toshiba,P300 3TB,34,89.1,50027,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
