Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,SSDPED1D280GASX,Intel,900P Optane NVMe PCIe 280GB,1,435,2437,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA
SSD,SSDPE21D280GASX,Intel,900P Optane NVMe PCIe 280GB,1,435,2437,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA
SSD,SSDPED1D960GAX1,Intel,905P Optane NVMe PCIe 960GB,2,435,440,https://ssd.userbenchmark.com/SpeedTest/498903/INTEL-SSDPED1D960GAY
SSD,SSDPED1D480GASX,Intel,900P Optane NVMe PCIe 480GB,3,419,1246,https://ssd.userbenchmark.com/SpeedTest/375784/INTEL-SSDPED1D480GA
SSD,SSDPE21D480GASX,Intel,900P Optane NVMe PCIe 480GB,3,419,1246,https://ssd.userbenchmark.com/SpeedTest/375784/INTEL-SSDPED1D480GA
SSD,MZ-V8P1T0BW,Samsung,980 Pro NVMe PCIe M.2 1TB,4,393,8685,https://ssd.userbenchmark.com/SpeedTest/1302577/Samsung-SSD-980-PRO-1TB
SSD,SB-ROCKET-NVMe4-2TB,Sabrent,Rocket 4 NVMe PCIe M.2 2TB,5,385,3551,https://ssd.userbenchmark.com/SpeedTest/847932/Sabrent-ROCKET-40-2TB
SSD,CSSD-F2000GBMP600,Corsair,Force MP600 NVMe PCIe M.2 2TB,6,378,4900,https://ssd.userbenchmark.com/SpeedTest/841469/Force-MP600
SSD,SB-ROCKET-NVMe4-1TB,Sabrent,Rocket 4 NVMe PCIe M.2 1TB,7,363,28918,https://ssd.userbenchmark.com/SpeedTest/844208/Sabrent-ROCKET-40-1TB
SSD,GP-ASM2NE6200TTTD,Gigabyte,Aorus NVMe PCIe M.2 2TB,8,353,2253,https://ssd.userbenchmark.com/SpeedTest/844144/GIGABYTE-GP-ASM2NE6200TTTD
SSD,MZ-V8P500BW,Samsung,980 Pro NVMe PCIe M.2 500GB,9,348,6064,https://ssd.userbenchmark.com/SpeedTest/1307906/Samsung-SSD-980-PRO-500GB
SSD,CSSD-F1000GBMP600,Corsair,Force MP600 NVMe PCIe M.2 1TB,10,345,24567,https://ssd.userbenchmark.com/SpeedTest/843047/Force-MP600
SSD,GP-ASM2NE6100TTTD,Gigabyte,Aorus NVMe PCIe M.2 1TB,11,341,8836,https://ssd.userbenchmark.com/SpeedTest/842989/GIGABYTE-GP-ASM2NE6100TTTD
SSD,MZ-V7P512BW,Samsung,970 Pro NVMe PCIe M.2 512GB,12,333,75749,https://ssd.userbenchmark.com/SpeedTest/498971/Samsung-SSD-970-PRO-512GB
SSD,MZ-V7S2T0BW,Samsung,970 Evo Plus NVMe PCIe M.2 2TB,13,333,22153,https://ssd.userbenchmark.com/SpeedTest/798635/Samsung-SSD-970-EVO-Plus-2TB
SSD,MZ-V7S2T0B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 2TB,13,333,22153,https://ssd.userbenchmark.com/SpeedTest/798635/Samsung-SSD-970-EVO-Plus-2TB
SSD,MZ-V7P1T0BW,Samsung,970 Pro NVMe PCIe M.2 1TB,14,332,28582,https://ssd.userbenchmark.com/SpeedTest/497261/Samsung-SSD-970-PRO-1TB
SSD,MZ-V7S1T0BW,Samsung,970 Evo Plus NVMe PCIe M.2 1TB,15,324,206184,https://ssd.userbenchmark.com/SpeedTest/693540/Samsung-SSD-970-EVO-Plus-1TB
SSD,MZ-V7S1T0B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 1TB,15,324,206184,https://ssd.userbenchmark.com/SpeedTest/693540/Samsung-SSD-970-EVO-Plus-1TB
SSD,5MS24AA#ABC,HP,EX950 NVMe PCIe M.2 2TB,16,315,1663,https://ssd.userbenchmark.com/SpeedTest/710813/HP-SSD-EX950-2TB
SSD,CT2000P5SSD8,Crucial,P5 3D NVMe PCIe M.2 2TB,17,312,455,https://ssd.userbenchmark.com/SpeedTest/1232397/CT2000P5SSD8
SSD,CT1000P5SSD8,Crucial,P5 3D NVMe PCIe M.2 1TB,18,308,3367,https://ssd.userbenchmark.com/SpeedTest/1217319/CT1000P5SSD8
SSD,MZ-V7E1T0BW,Samsung,970 Evo NVMe PCIe M.2 1TB,19,306,204035,https://ssd.userbenchmark.com/SpeedTest/494791/Samsung-SSD-970-EVO-1TB
SSD,MZ-V8P250BW,Samsung,980 Pro NVMe PCIe M.2 250GB,20,295,1258,https://ssd.userbenchmark.com/SpeedTest/1311638/Samsung-SSD-980-PRO-250GB
SSD,WDS100T3X0C,WD,Black SN750 NVMe PCIe M.2 1TB (2019),21,294,48770,https://ssd.userbenchmark.com/SpeedTest/703216/WDS100T3X0C-00SJG0
SSD,SB-ROCKET-NVMe4-500,Sabrent,Rocket 4 NVMe PCIe M.2 500GB,22,293,5619,https://ssd.userbenchmark.com/SpeedTest/905105/Sabrent-Rocket-40-500GB
SSD,5MS23AA#ABC,HP,EX950 NVMe PCIe M.2 1TB,23,290,2739,https://ssd.userbenchmark.com/SpeedTest/706053/HP-SSD-EX950-1TB
SSD,MZ-V7E2T0BW,Samsung,970 Evo NVMe PCIe M.2 2TB,24,290,6675,https://ssd.userbenchmark.com/SpeedTest/501128/Samsung-SSD-970-EVO-2TB
SSD,MZ-V7S500BW,Samsung,970 Evo Plus NVMe PCIe M.2 500GB,25,290,242183,https://ssd.userbenchmark.com/SpeedTest/700020/Samsung-SSD-970-EVO-Plus-500GB
SSD,MZ-V7S500B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 500GB,25,290,242183,https://ssd.userbenchmark.com/SpeedTest/700020/Samsung-SSD-970-EVO-Plus-500GB
SSD,2YY47AA#ABC,HP,EX920 NVMe PCIe M.2 1TB,26,287,9064,https://ssd.userbenchmark.com/SpeedTest/488611/HP-SSD-EX920-1TB
SSD,ASX8200PNP-2TT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 2TB,27,282,221,https://ssd.userbenchmark.com/SpeedTest/892867/NVMe-ADATA-SX8200PNP
SSD,ASX8200PNP-1TT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 1TB,28,282,56906,https://ssd.userbenchmark.com/SpeedTest/638791/ADATA-SX8200PNP
